code,lat,lon,elev_m
6007,40.384,36.0717,550
6101,40.9938,39.6685,19
6201,39.0747,39.5347,901
6401,38.6726,29.404,920
6505,39.135,43.9011,2043
6513,38.4145,43.2682,1850
6506,39.0196,43.338,1681
6507,38.2963,43.1198,1696
6501,38.5035,43.4018,1745
6512,38.99,43.763,1712
6508,38.6573,43.9767,1994
7706,40.5131,28.8266,6
7707,40.6381,29.0788,59
7704,40.6576,29.2473,2
7703,40.6506,29.279,58
7702,40.59,29.2668,219
7701,40.5642,29.306,343
6602,39.6596,35.897,1386
6603,40.0674,35.4998,918
6601,39.8243,34.8159,1295
6604,39.4986,35.3693,1109
6605,39.8084,35.1876,1058
6701,41.4511,31.7788,50
ALN,40.9,26.05,110
GNI,40.15,44.74,1609
ATA5,39.9046,41.2448,1860
CAVS,40.6871,26.1685,67
ERZM,39.9045,41.3622,2380
AVDN,40.2933,29.1646,439
UNCK,40.1158,28.7221,515
STBT,40.1444,29.2383,726
YYLC,40.3036,28.8168,726
KAHM,37.5167,36.987,587
BALA,39.3521,33.0938,975
KZCM,40.4319,32.6704,1209
BYPZ,40.1668,31.9336,784
GLBS,39.7803,32.8145,1022
KRGN,40.2904,33.5486,844
SRFK,38.8551,33.7006,1134
ILGZ,40.9323,33.6625,939
MNGN,40.9381,32.0849,654
ESKP,39.5339,32.1829,968
KSKN,39.7104,33.6253,1295
SGAZ,39.5293,30.8387,958
ANDZ,39.5094,29.899,1122
BOYA,41.533,34.6806,443
BILE,40.1615,29.875,999
KAYN,40.9654,30.3405,130
OZAP,38.6614,43.9928,2058
PERV,37.9461,42.5417,1377
CKRK,40.0732,35.4998,991
VIZE,41.5785,27.84,345
ARMN,41.8639,27.4289,406
DEVR,41.1417,31.9724,388
NIDE,37.9999,34.7768,1420
MIDY,37.4063,41.3983,972
CAVK,40.6917,26.1677,97
ECEA,40.0445,26.1742,23
KKBE,37.2196,32.9404,1118
KOVA,38.7057,39.8126,1101
CIDE,41.8821,32.9471,27
ALIN,38.2985,32.8785,1073
BUHA,39.5011,27.0769,258
SEDI,37.4511,31.7549,1255
YVAC,38.2709,31.2395,1185
KOCA,39.5022,26.1383,292
ZEYE,38.239,26.5032,75
SLHN,38.9572,41.0239,1373
MULA,37.2561,28.3208,973
DDIM,37.4571,27.2414,93
CAEL,37.1229,29.3199,1386
KOTA,39.8022,43.2058,1822
BUCA,37.3277,30.5593,812
ALUC,40.3442,38.7698,1574
3418,40.8146,29.2755,5
SUTC,37.4765,30.9997,1100
HACI,39.7029,35.7308,1158
ASUZ,36.2917,35.7847,9
DRNR,41.1732,41.8723,440
CUAYA,39.2655,36.7463,1509
KRTK,40.5904,29.2092,124
TESV,40.6353,29.0819,23
BOZB,40.5346,28.7823,72
TUZL,40.8151,29.2744,8
ESNK,40.5962,28.9221,15
BUAD,40.8401,29.1232,46
SIVA,40.8768,28.9722,7
BKR,41.7337,43.5032,1798
PASA,38.348,29.4877,979
KRSK,40.3993,29.2558,221
KURT,40.5905,29.2092,122
0125,37.0152,35.7958,25
0119,36.568,35.3901,22
0208,37.7869,37.6528,1763
0310,39.0052,31.144,1005
0311,38.5329,30.5437,1145
0510,40.8815,35.2034,846
0506,40.6438,35.8039,405
0507,40.8797,35.4588,757
0509,40.7599,36.3205,214
0620,40.0181,32.3291,940
0623,39.9689,32.7271,830
0624,39.8861,32.8561,1088
0621,40.2294,33.0289,995
0631,40.2409,33.0319,995
0627,39.9818,32.625,815
0619,39.9055,32.7571,851
0629,39.7825,32.8064,1021
0630,39.9249,32.8469,966
0622,39.5834,32.1628,889
0625,39.964,32.5828,833
0628,39.8862,32.6916,904
0713,36.5429,32.0043,1
0714,36.5555,31.9867,12
0716,36.2685,29.4128,78
0717,36.9495,30.6419,194
0715,36.4878,32.0963,15
0917,37.6052,28.0584,81
0918,37.3697,27.2643,47
0919,37.5595,27.8355,108
0910,37.8455,27.7996,65
0920,37.5604,27.3749,58
1019,39.498,26.9753,55
1018,40.4093,27.7878,21
1020,39.9171,28.1641,53
6901,40.2623,40.2101,1614
1213,39.231,40.4774,1500
